,r,S1,S2,S3,S1_int,S2_int,S3_int
0,-5.0,0.00344119416834204,0.002890908034554696,0.0031426205208512185,8395.099349013602,8295.369026196213,8367.509865647744
1,-4.9,0.003937676095412006,0.0033818871540224767,0.003930707219712967,8395.099349013602,8295.369026196213,8367.509865647744
2,-4.8,0.004497654961609612,0.003969538801599498,0.004811857886747682,8395.099349013602,8295.369026196213,8367.509865647744
3,-4.7,0.005134508956355442,0.0046740403518168135,0.005803724844937531,8395.099349013602,8295.369026196213,8367.509865647744
4,-4.6,0.005863467093601781,0.005517669573873837,0.00692640004471873,8395.099349013602,8295.369026196213,8367.509865647744
5,-4.5,0.006702136352040292,0.006525192814206441,0.00820311167522835,8395.099349013602,8295.369026196213,8367.509865647744
6,-4.4,0.007671200092699718,0.0077243784282161315,0.009661194315093567,8395.099349013602,8295.369026196213,8367.509865647744
7,-4.3,0.008795349058695525,0.009146705318944208,0.011333479475512722,8395.099349013602,8295.369026196213,8367.509865647744
8,-4.2,0.010104558080511234,0.010828376076267156,0.013260335132704606,8395.099349013602,8295.369026196213,8367.509865647744
9,-4.1,0.011635961892689577,0.012811832362459644,0.015492767595178791,8395.099349013602,8295.369026196213,8367.509865647744
10,-4.0,0.013437076360873972,0.015148229205616438,0.01809769184890922,8395.099349013602,8295.369026196213,8367.509865647744
11,-3.9,0.015574015456761544,0.017903094896991562,0.02117059276546879,8395.099349013602,8295.369026196213,8367.509865647744
12,-3.8,0.018134343184071908,0.021158069818842554,0.024839192339922114,8395.099349013602,8295.369026196213,8367.509865647744
13,-3.7,0.021213713031293015,0.02500227969843347,0.029241923266073708,8395.099349013602,8295.369026196213,8367.509865647744
14,-3.6,0.024913712633235264,0.029531047041561675,0.03452414285388046,8395.099349013602,8295.369026196213,8367.509865647744
15,-3.5,0.029342114697657042,0.03484622099849055,0.040837270910034855,8395.099349013602,8295.369026196213,8367.509865647744
16,-3.4,0.03461330944667601,0.04105643826767818,0.04833763870137735,8395.099349013602,8295.369026196213,8367.509865647744
17,-3.3,0.040849019353409455,0.0482774104076272,0.05718474448226823,8395.099349013602,8295.369026196213,8367.509865647744
18,-3.2,0.04817934836948312,0.05663228862685161,0.0675387194950965,8395.099349013602,8295.369026196213,8367.509865647744
19,-3.1,0.056744306305079734,0.06625230576198914,0.07955661230864432,8395.099349013602,8295.369026196213,8367.509865647744
20,-3.0,0.06669614364952728,0.07727833709403076,0.09338640931492402,8395.099349013602,8295.369026196213,8367.509865647744
21,-2.9,0.0782046091370325,0.08986647695712285,0.10915372560488375,8395.099349013602,8295.369026196213,8367.509865647744
22,-2.8,0.09145799810357647,0.1041896786310238,0.1269577828364622,8395.099349013602,8295.369026196213,8367.509865647744
23,-2.7,0.10665279382657562,0.12042589643105313,0.1468912109395879,8395.099349013602,8295.369026196213,8367.509865647744
24,-2.6,0.12398942073204376,0.13875389477916789,0.1690413411434791,8395.099349013602,8295.369026196213,8367.509865647744
25,-2.5,0.1436681137984394,0.1593499015668273,0.19348714385185498,8395.099349013602,8295.369026196213,8367.509865647744
26,-2.4,0.16588302996816065,0.18238289113645653,0.22029510396997581,8395.099349013602,8295.369026196213,8367.509865647744
27,-2.3,0.19081400334465812,0.20800789815496296,0.24951356018141663,8395.099349013602,8295.369026196213,8367.509865647744
28,-2.2,0.21861485023421934,0.2363561831650371,0.28116470587891756,8395.099349013602,8295.369026196213,8367.509865647744
29,-2.1,0.24939590218165547,0.26751982696027343,0.3152324117082122,8395.099349013602,8295.369026196213,8367.509865647744
30,-2.0,0.28319408436797844,0.3015238424298159,0.35164080709986295,8395.099349013602,8295.369026196213,8367.509865647744
31,-1.9,0.3198992743349288,0.3382548841605315,0.39020001143442035,8395.099349013602,8295.369026196213,8367.509865647744
32,-1.8,0.35923050972849313,0.3774365347675866,0.43058947913521467,8395.099349013602,8295.369026196213,8367.509865647744
33,-1.7,0.40085568131536947,0.41874365155642307,0.4724490529136701,8395.099349013602,8295.369026196213,8367.509865647744
34,-1.6,0.44441224365045484,0.4618215023028373,0.5153953016003021,8395.099349013602,8295.369026196213,8367.509865647744
35,-1.5,0.4895077809840801,0.5062854781000493,0.5590229002746661,8395.099349013602,8295.369026196213,8367.509865647744
36,-1.4,0.5357207295565636,0.5517209152544431,0.6029063428027994,8395.099349013602,8295.369026196213,8367.509865647744
37,-1.3,0.5826011695744999,0.5976834270984798,0.6466027314930841,8395.099349013602,8295.369026196213,8367.509865647744
38,-1.2,0.6296714964279538,0.6436994765166675,0.689655141954857,8395.099349013602,8295.369026196213,8367.509865647744
39,-1.1,0.6764265302620738,0.6892676352257965,0.7315982403453198,8395.099349013602,8295.369026196213,8367.509865647744
40,-1.0,0.7223317293442773,0.7338597059564328,0.7719675846808193,8395.099349013602,8295.369026196213,8367.509865647744
41,-0.9,0.7668132105852506,0.7769185707958242,0.8103219836834987,8395.099349013602,8295.369026196213,8367.509865647744
42,-0.8,0.8092565241473644,0.8178629255589386,0.8462550256664219,8395.099349013602,8295.369026196213,8367.509865647744
43,-0.7,0.8490328910306515,0.8561059803379871,0.8793671908016029,8395.099349013602,8295.369026196213,8367.509865647744
44,-0.6,0.8855074981095438,0.8910616724596274,0.9092628309465307,8395.099349013602,8295.369026196213,8367.509865647744
45,-0.5,0.918044328833512,0.9221485240784393,0.9355524798717801,8395.099349013602,8295.369026196213,8367.509865647744
46,-0.4,0.9460113478020458,0.9487934738429318,0.9578551474849561,8395.099349013602,8295.369026196213,8367.509865647744
47,-0.3,0.9687860392138846,0.9704356826340131,0.9758005980510022,8395.099349013602,8295.369026196213,8367.509865647744
48,-0.2,0.9857612991905782,0.9865303133759804,0.989031612408853,8395.099349013602,8295.369026196213,8367.509865647744
49,-0.1,0.9963516819743012,0.9965522849199824,0.997206234727911,8395.099349013602,8295.369026196213,8367.509865647744
50,0.0,1.0,1.0,1.0,8395.099349013602,8295.369026196213,8367.509865647744
51,0.1,0.9963516819743012,0.9965522849199824,0.997206234727911,8395.099349013602,8295.369026196213,8367.509865647744
52,0.2,0.9857612991905782,0.9865303133759804,0.989031612408853,8395.099349013602,8295.369026196213,8367.509865647744
53,0.3,0.9687860392138846,0.9704356826340131,0.9758005980510022,8395.099349013602,8295.369026196213,8367.509865647744
54,0.4,0.9460113478020458,0.9487934738429318,0.9578551474849561,8395.099349013602,8295.369026196213,8367.509865647744
