,r,S1,S2,S3,S1_int,S2_int,S3_int
21,-2.9,0.0888302184324125,0.09269967484808768,0.08906968656741182,8355.838429012405,8251.603236053097,8384.001357539999
22,-2.8,0.10477065459402753,0.10988790757339499,0.10131083920858917,8355.838429012405,8251.603236053097,8384.001357539999
23,-2.7,0.12291893059289753,0.1291242539117528,0.1152981250064836,8355.838429012405,8251.603236053097,8384.001357539999
24,-2.6,0.14340338811395276,0.15051853773012905,0.13125539806037467,8355.838429012405,8251.603236053097,8384.001357539999
25,-2.5,0.16634127832360493,0.17417554274250618,0.1494103550940228,8355.838429012405,8251.603236053097,8384.001357539999
26,-2.4,0.19183395422588273,0.2001912882934978,0.16998854722125661,8355.838429012405,8251.603236053097,8384.001357539999
27,-2.3,0.2199604352388899,0.22864764254276151,0.19320488110097042,8355.838429012405,8251.603236053097,8384.001357539999
28,-2.2,0.2507684881308929,0.25960427646642864,0.21925145959461334,8355.838429012405,8251.603236053097,8384.001357539999
29,-2.1,0.2842613783859193,0.2930857574795408,0.24827918825481526,8355.838429012405,8251.603236053097,8384.001357539999
30,-2.0,0.32037489747628495,0.3290577608997421,0.28036622794095944,8355.838429012405,8251.603236053097,8384.001357539999
31,-1.9,0.3589193422100981,0.3673653729917169,0.3154400141775042,8355.838429012405,8251.603236053097,8384.001357539999
32,-1.8,0.39956422555089705,0.4077111872812054,0.35325136204736574,8355.838429012405,8251.603236053097,8384.001357539999
33,-1.7,0.44193996948358844,0.44975397736398026,0.39349993986814824,8355.838429012405,8251.603236053097,8384.001357539999
34,-1.6,0.48565621202454673,0.4931254773612742,0.43585581168896054,8355.838429012405,8251.603236053097,8384.001357539999
35,-1.5,0.5303034050326522,0.5374304625742786,0.4799595948594851,8355.838429012405,8251.603236053097,8384.001357539999
36,-1.4,0.5754546566790036,0.5822472691213474,0.5254225144223686,8355.838429012405,8251.603236053097,8384.001357539999
37,-1.3,0.6206677295710029,0.6271290258563397,0.5718262519781487,8355.838429012405,8251.603236053097,8384.001357539999
38,-1.2,0.6654872849644211,0.6716060924009815,0.6187217387132855,8355.838429012405,8251.603236053097,8384.001357539999
39,-1.1,0.709447311334056,0.7151904459645311,0.6656261671332413,8355.838429012405,8251.603236053097,8384.001357539999
40,-1.0,0.7520741759726937,0.7573833827129068,0.7120151598905013,8355.838429012405,8251.603236053097,8384.001357539999
41,-0.9,0.7928920853029299,0.7976922243070006,0.7572967116405546,8355.838429012405,8251.603236053097,8384.001357539999
42,-0.8,0.8314254765599931,0.8356426526736566,0.8008019239926605,8355.838429012405,8251.603236053097,8384.001357539999
43,-0.7,0.8671938246598268,0.8707663014013268,0.8418341980142416,8355.838429012405,8251.603236053097,8384.001357539999
44,-0.6,0.899713334475924,0.9026006723984114,0.8796825850677881,8355.838429012405,8251.603236053097,8384.001357539999
45,-0.5,0.928500229896945,0.9306918106031488,0.9136279928651594,8355.838429012405,8251.603236053097,8384.001357539999
46,-0.4,0.9530743806010148,0.9545967615120236,0.9429500866637007,8355.838429012405,8251.603236053097,8384.001357539999
47,-0.3,0.9729632665466488,0.9738858115266373,0.9669348856041239,8355.838429012405,8251.603236053097,8384.001357539999
